Dataset Name,Size After pre-processing,Size After selecting top genes,Cluster Algo,top_genes,Base ARI,ARI_magic,ARI_knn,ARI_softimpute,ARI_simpleimpute,ARI_scVI,ARI_gimVI,ARI_tangram,Base NMI,NMI_magic,NMI_knn,NMI_softimpute,NMI_simpleimpute,NMI_scVI,NMI_gimVI,NMI_tangram,Base AMI,AMI_magic,AMI_knn,AMI_softimpute,AMI_simpleimpute,AMI_scVI,AMI_gimVI,AMI_tangram,Base HOMO,HOMO_magic,HOMO_knn,HOMO_softimpute,HOMO_simpleimpute,HOMO_scVI,HOMO_gimVI,HOMO_tangram,Raw zero Exp val (%),magic zero Exp val (%),knn zero Exp val (%),softimpute zero Exp val (%),simpleimpute zero Exp val (%),scVI zero Exp val (%),gimVI zero Exp val (%),tangram zero Exp val (%),magic Runtime (s),knn Runtime (s),softimpute Runtime (s),simpleimpute Runtime (s),scVI Runtime (s),gimVI Runtime (s),tangram Runtime (s),magic Memory (MB),knn Memory (MB),softimpute Memory (MB),simpleimpute Memory (MB),scVI Memory (MB),gimVI Memory (MB),tangram Memory (MB)
151507_visium_processed.h5ad,2890x15274,2890x2000,Leiden,2000,0.192031369,0.131963765,0.201487264,0.120571476,0.158042548,0.122608166,0.176696404,0.187093292,0.28130124,0.267185986,0.289723858,0.220758173,0.254253639,0.183614114,0.292920816,0.280397366,0.2781437,0.262328033,0.286624218,0.217813554,0.251297277,0.179388109,0.289081365,0.277962225,0.294391719,0.324579941,0.304264741,0.233104091,0.260775077,0.204015499,0.339857009,0.283247915,93.99394464,0.021211073,93.99394464,0,0,0,0,0,2.228558064,0.046455383,15.5128684,0.201717377,142.9342544,235.7528899,4.984820604,443.7801409,77.19304657,165.7330627,157.6563597,98.64600468,304.70755,479.8951206
151507_visium_processed.h5ad,2890x15274,2890x5000,Leiden,5000,0.196362025,0.138898532,0.209594589,0.111322817,0.179053256,0.133528837,0.174871743,0.159790623,0.283466158,0.299415291,0.290468616,0.201899115,0.291970126,0.221127177,0.32227827,0.269127768,0.280681486,0.294725865,0.287701369,0.198880209,0.28955738,0.217479495,0.318328572,0.266361545,0.291980855,0.360919694,0.298138091,0.212983501,0.293000952,0.243731999,0.380715447,0.283738399,92.41686505,0.003453287,92.41686505,0,0,0,0,0,3.789366961,0.174859762,34.78731227,0.532668591,144.4420145,208.0036876,9.533752918,291.9315872,193.1166687,410.6283951,388.6580925,167.0079699,605.1302061,816.347743
151507_visium_processed.h5ad,2890x15274,2890x15274,Leiden,all,0.266961416,0.183915961,0.270138574,0.067394565,0.198845439,0.185442157,0.221025319,0.243629228,0.436482657,0.38775925,0.442132423,0.161213752,0.320624706,0.324007617,0.405242797,0.397745569,0.434324593,0.383634219,0.439989257,0.157270624,0.318340597,0.320547996,0.401562933,0.395471191,0.455305226,0.465293135,0.459932293,0.176773701,0.325915341,0.362696616,0.488565236,0.420213651,89.69524392,0.016123018,89.69524392,0,0,0,0,0,6.92289257,0.653748989,109.3304868,1.893028498,167.6130173,270.539187,26.11027169,749.4346466,589.6377039,1235.753698,1159.414969,397.8799801,1627.49297,1957.41518
151508_visium_processed.h5ad,2549x14507,2549x2000,Leiden,2000,0.09808869,0.084918659,0.112392448,0.124035631,0.150694759,0.070491134,0.144764957,0.12202857,0.171264836,0.201870922,0.190369267,0.233593695,0.267207279,0.149641159,0.272174869,0.208841238,0.167441923,0.196081375,0.186212525,0.230260607,0.264334643,0.144985652,0.267670703,0.205727795,0.172064389,0.240447824,0.196480969,0.246842844,0.268477865,0.16262054,0.319119568,0.209245655,94.8665359,0,94.8665359,0,0,0,0,0,1.83858037,0.07458663,13.91239309,0.207231045,218.754945,358.6159966,7.269484282,83.61036396,68.08743477,146.8742914,140.0994911,93.59297752,280.8554573,453.0764055
151508_visium_processed.h5ad,2549x14507,2549x5000,Leiden,5000,0.168825953,0.112073845,0.165938507,0.093468211,0.142235662,0.131967714,0.186613877,0.139864067,0.258674001,0.239608112,0.257816908,0.194824682,0.272478418,0.236144494,0.306480367,0.232867672,0.255334434,0.235248345,0.254481287,0.19172658,0.269680178,0.232420747,0.302417643,0.230264184,0.266285588,0.275276925,0.265678748,0.199115691,0.278627852,0.254875577,0.345359959,0.224875316,93.44452727,0,93.44452727,0,0,0,0,0,2.945742369,0.156016588,30.39538765,0.470483303,223.2118793,399.8533869,13.50845361,251.1534281,170.3524628,364.1936808,345.8346624,154.6777983,546.1660109,648.9649792
151508_visium_processed.h5ad,2549x14507,2549x14507,Leiden,all,0.256468837,0.172460154,0.255957646,0.08217781,0.149964718,0.173671903,0.194246404,0.202448015,0.407872083,0.354319156,0.404836808,0.190248364,0.284676291,0.31229614,0.36358833,0.360683893,0.405278978,0.34967754,0.402562258,0.186267893,0.282263939,0.308315795,0.359939406,0.357924951,0.428670222,0.425698529,0.416465503,0.204527871,0.276452968,0.356055185,0.417754489,0.383850079,90.88244435,7.84E-05,90.88244435,0,0,0,0,0,5.264792681,0.432170153,89.74030018,1.563857079,245.1416442,442.1653137,33.47469807,624.973649,493.9838753,1041.93049,981.38309,345.0110188,1380.699195,1578.745846
151509_visium_processed.h5ad,4184x15892,4184x2000,Leiden,2000,0.096181604,0.070577848,0.110322333,0.168193008,0.214299162,0.071323695,0.093004916,0.10887246,0.235888157,0.208105897,0.241237513,0.321515033,0.338488233,0.190987531,0.270305944,0.257004028,0.233446237,0.204429845,0.238793178,0.318870594,0.336348599,0.187517229,0.266260735,0.254427828,0.26317566,0.261459608,0.267253498,0.371949319,0.37715256,0.239163214,0.371786168,0.298394399,94.63575526,0.307707935,94.63575526,0,0,0,0,0,4.040654182,0.096909046,20.67057467,0.312696457,362.4662087,587.9010673,14.07892084,136.6176949,111.7465744,240.6941738,229.3707218,119.4491348,395.3356791,510.8764887
151509_visium_processed.h5ad,4184x15892,4184x5000,Leiden,5000,0.139819788,0.084520072,0.144037199,0.151383726,0.215537188,0.14768903,0.146299311,0.111133659,0.282228865,0.260259594,0.284688217,0.29037645,0.358978363,0.278497928,0.338255854,0.248281439,0.280434037,0.25643953,0.282628396,0.288386157,0.35685088,0.275769562,0.335659185,0.246380061,0.300884756,0.340280428,0.308751879,0.322365517,0.390615339,0.33070985,0.422708903,0.261864529,93.41465583,0.238661568,93.41465583,0,0,0,0,0,7.803101063,0.278033018,46.9424715,0.768075466,360.0436614,608.4229715,26.88690114,463.0058765,279.5003967,597.606452,567.3143044,217.5727654,829.0253382,1043.131686
151509_visium_processed.h5ad,4184x15892,4184x15892,Leiden,all,0.215385607,0.109324109,0.21573309,0.122673325,0.232582787,0.17024927,0.165874282,0.204186659,0.400293203,0.340569648,0.395485574,0.251095725,0.39205518,0.361070092,0.396101023,0.374380753,0.398604419,0.336821688,0.39377287,0.248778188,0.390323774,0.358086476,0.393556771,0.372636856,0.442471155,0.460335302,0.434792854,0.288927697,0.428790694,0.452477787,0.503642465,0.417945156,25.8845935,0.20924883,25.8845935,0,0,0,0,0,12.61443543,1.04662466,155.6343193,2.962412596,415.4980416,748.8131299,82.82679057,1163.010915,888.0474358,1869.310066,1758.076382,1212.282089,2396.843348,3066.72001
151510_visium_processed.h5ad,3722x15511,3722x2000,Leiden,2000,0.138553192,0.090927563,0.124783389,0.138025032,0.196507463,0.093391574,0.109678846,0.16084244,0.247543645,0.242096244,0.242740382,0.254664338,0.286100894,0.192726098,0.279785115,0.266895929,0.244851643,0.23728285,0.240046753,0.251158716,0.283443134,0.188659307,0.275731636,0.264571615,0.271964506,0.307483933,0.267965096,0.298535296,0.308115103,0.229606818,0.367897447,0.289110748,94.72706878,0.281407845,94.72706878,0,0,0,0,0,3.297599554,0.077340841,18.61935973,0.287978411,327.3297639,527.600702,12.07318687,121.5645199,99.40984344,214.2358131,204.2250175,111.465169,362.9762821,471.634181
